,place,text, artist
42,47,"""Отпусти мою любовь, как воздушный шар
Нет, не жди, ведь продолжаться не может так

Не касаюсь тебя трепетно
Ты ведь знаешь, как с ума свести
И умеешь говорить в лицо
Что угодно, кроме нежности

Я теряю равновесие
Пол уходит из-под ног, весь мир
Замирает, ведь я жду сирен
И под них я прокричу: Спасибо!

Так подытожим
Спасибо скажешь мне позже

Отпусти мою любовь, как воздушный шар
Нет, не жди, ведь продолжаться не может так
Отпусти мою любовь, как воздушный шар
Нет, не жди, ведь продолжаться не может так

Перед бурей, как обычно, штиль
Между нами, как обычно, ложь
Очевидно, нужно отпустить
Я же всё равно пройду

И ты пройдёшь, как простуда
Погрущу и забуду
Разбежимся, как люди по любви, м-м

Солнце выйдет однажды
И этот город бумажный
Перестанет быть нашим
C'est la vie (c'est la vie)

Отпусти мою любовь, как воздушный шар
Нет, не жди, ведь продолжаться не может так
Отпусти мою любовь, как воздушный шар
Нет, не жди, ведь продолжаться не может так

Спасибо, так подытожим
Спасибо скажешь мне позже""",Dose feat Mary Gu
43,48,"""Логика никак в мои речи не вернётся
Важные слова прячу до захода солнца
Счастье дуракам, эти будут молча улыбаться
Мы хотели бы стать чуть лучше, чем умеем
Но по телику привлекательней злодеи
Перед теми ли мы стоим у наших отражений? На-на-най

А нам
По барабану
Если всё не по плану
То мы переиграем плавно

И по барабану
Не надо даром
Если всё не по плану
То мы переиграем

В Питере мосты по ночам уходят в небо
Радости просты, если ценятся моменты
Сытые коты не дают высокие оценки, но-но-но
Кто-то выдумал, что сегодня в моде худи
Может, это план — типа в них худее будем
Счастье дуракам, эти не умеют же стесняться, завидую

А нам
По барабану
Если всё не по плану
То мы переиграем плавно

И по барабану
Не надо даром
Если всё не по плану
То мы переиграем

I'm taking all
Even when I lose the control
Hiding far away from your soul (uh-uh)
My soul (uh-uh) again
Gonna make it my feathers more strong

Where you go when something goes wrong?
Going through the rage of this storm (uh-uh)
So dumb (uh-uh)
Again and again the same thing

(А нам)
По барабану
(По барабану)
По барабану
(Если всё не по плану)
Всё не по плану
(То мы переиграем)""",Zivert
44,49,"""Наверно, это в первый раз серьёзно
Я доверился тебе так просто
В первый раз с тобою мы так близко —
Это в самый первый раз

Наверно, это в первый раз серьёзно
Я доверился тебе так просто
В первый раз с тобою мы так близко —
Это в самый первый раз

Твои белые крылья
И глаза-незабудки
Окна плакали пылью, размытые городом в старой маршрутке
Ты сидела напротив
А я замер, как школьник
Да, романтики мало, но это так просто, что даже прикольно
Едут мимо машины
Люди уткнулись в экраны мобильных
Всё стало фоном, как будто бы в фильме
Ведь я не любил эти сопли ванильные

Ты будто ангел во втором ряду
Смотришь, как тихо облака плывут
А я давно проехал свой маршрут

Наверно, это в первый раз серьёзно
Я доверился тебе так просто
В первый раз с тобою мы так близко —
Это в самый первый раз

Наверно, это в первый раз серьёзно
Я доверилась тебе так просто
В первый раз с тобою мы так близко —
Это в самый первый раз

Наверно, это в первый раз
Когда мои глаза увидели твои
И стало глупым всё, что знала о любви
Я в них увидела себя и целый мир
Я так хотела, чтоб со мной заговорил
Просто пару слов, просто ни о чём
Чтоб услышать голос твой
Как будто мы вдвоём

Ты будто ангел во втором ряду
Смотришь, как тихо облака плывут
А я по лужам за тобой бегу

Наверно, это в первый раз серьёзно
Я доверилась тебе так просто
В первый раз с тобою мы так близко —
Это в самый первый раз

Наверно, это в первый раз серьёзно
Я доверился тебе так просто
В первый раз с тобою мы так близко —
Это в самый первый раз""",NECHAEV feat REFLEX
45,51,"""Ночь без сна, это ты одна
Виновата в том, что я так страдаю
Каждый день я брожу как тень
В шумном городе без тебя скучаю

Жду снова встречи с тобой
Жду и надеюсь, ты будешь со мной

А ты меня любишь
И всё мне, наверное, можешь простить
Со мной рядом будешь
И эти минуты не сможешь забыть

А ты меня любишь (да-да-да)
И всё-таки хочешь казаться другой
Со мной рядом будешь (да-да-да)
Я сделаю всё, чтоб остаться с тобой
Навсегда (да-да-да) с тобой
Навсегда (да-да-да)

Ты одна в сердце у меня
И не верь словам, что твердят другие
Я люблю лишь тебя одну
Разговоры — бред, все они пустые

Просто в глаза мне взгляни
Просто взгляни, что скажут они?

А ты меня любишь (ты меня)
И всё мне, наверное, можешь простить
Со мной рядом будешь
И эти минуты не сможешь забыть
Навсегда с тобой
Навсегда. Ты любишь!

А ты любишь, спи
Меня, меня, меня
А ты любишь, спи
Меня, меня, меня
А ты любишь

А ты меня любишь
И всё мне, наверное, можешь простить
Со мной рядом будешь
И эти минуты не сможешь забыть

А ты меня любишь (да-да-да)
И всё-таки хочешь казаться другой
Со мной рядом будешь (да-да-да)
Я сделаю всё, чтоб остаться с тобой
Навсегда с тобой
Навсегда""",DJ SMASH feat Poet
46,53,"""Аэроэкспресс, мчи в аэропорт
Не могу никак опоздать я на рейс
Там в другой стране очень сильно ждёт
Самый дорогой на земле человек

Пол пятого утра, а я уснуть пытаюсь
Открыла твой Инста, знал бы ты, как я скучаю
Мы птицы разных стай, но одного полёта
Мой самый тёплый край — там, где ты со мной на фото

Ты мне, когда написал, что ненавидишь скучать
Бросить бы всё и всех, рванув ко мне
Я всё тогда поняла, незачем думать, решать
Первым же рейсом, что есть, лечу к тебе

Аэроэкспресс, мчи в аэропорт
Не могу никак опоздать я на рейс
Там в другой стране очень сильно ждёт
Самый дорогой на земле человек

Ты ведь знаешь, как же сильно я боюсь летать
Но на взлётной представляю рядом я тебя

Ты мне, когда написал, что ненавидишь скучать
Бросить бы всё и всех, рванув ко мне
Я всё тогда поняла, незачем думать, решать
Первым же рейсом, что есть, лечу к тебе

Аэроэкспресс, мчи в аэропорт
Не могу никак опоздать я на рейс
Там в другой стране очень сильно ждёт
Самый дорогой на земле человек

Аэроэкспресс, мчи в аэропорт
Не могу никак опоздать я на рейс
Там в другой стране очень сильно ждёт
Самый дорогой на земле человек""",Люся Чеботина
47,54,"""А я открываю Балтику, набираю братику
Пацаны из падиков метят в депутатиков
Открываю Балтику, набираю братику
Пацаны из падиков метят в депутатиков

А я открываю Балтику, набираю братику
Пацаны из падиков метят в депутатиков
Открываю Балтику, набираю братику
Пацаны из падиков метят в депутатиков

Разложу по нотам, слова по блокнотам
Как ребята волки, чёрные футболки
Тут сапёры в шоке, от нашей находки
Пацы из Приморья наводят разборки

Долина чудная, сладкий туман
Братики, адики, дым, криминал
Копы в дали, но я вывезу сам
Это своим залетит пацанам

Раньше мои братья, помню, были на мели
Мы на дне тонули с ними, будто корабли
Ща другие темы, ща другие мутки
Я не верю в ваши эти ёбанные шутки

Мы на олимпосе, порванные кроссы
Батя говорил, ну а я курить не бросил
Мы на олимпосе, порванные кроссы
Батя говорил, ну а я курить не бросил

А я открываю Балтику, набираю братику
Пацаны из падиков метят в депутатиков
Открываю Балтику, набираю братику
Пацаны из падиков метят в депутатиков

А я открываю Балтику, набираю братику
Пацаны из падиков метят в депутатиков
Открываю Балтику, набираю братику
Пацаны из падиков метят в депутатиков

А я открываю Балтику, набираю братику
Пацаны из падиков метят в депутатиков
Открываю Балтику, набираю братику
Пацаны из падиков метят в депутатиков

А я открываю Балтику""",ТАТАРИН feat Татем
48,55,"""Мы так давно не виделись, но ты видишь меня во снах
Ты думал, я обиделась и останусь теперь одна?
Я видела с кем крутишься - не заменит меня она
Я видела, с кем мутишь ты - слава Богу, что я не та

Кто ты?
И почему, если чужие мы, то посвящаю я тебе мелодии и ноты?
Полюбил тебя за миг, а потом, чтобы забыть, мне понадобятся годы.
Если ты не моя, но всё ещё тебя люблю я, то кто ты?
Для меня кто ты?

Я твоя бывшая, к тебе остывшая
Случайно встретив меня, твои не скроют глаза:
Смотришь завистливо, а я счастливая.
И мне немыслимо, что не могла без тебя.

Я твоя бывшая, к тебе остывшая
Случайно встретив меня, твои не скроют глаза:
Смотришь завистливо, а я счастливая.
И мне немыслимо, что не могла без тебя.

Я любил, меня любили
Я - не тех, меня - не те
И когда ты отпустила
Я вернулся, но к себе...

Твою ленту я листаю
И не вижу нас вдвоём.
Как же холодно мне стало
В сердце твоём...

Знаешь,
Ненавижу с тобой прощаться,
Давай будем мы выше обид
На меня так легко обижаться
И так трудно меня полюбить

Ты теперь соблюдаешь дистанцию
Появился там кто-то вроде...
Но для меня кто ты? Кто ты?

Я твоя бывшая, к тебе остывшая
Случайно встретив меня, твои не скроют глаза:
Смотришь завистливо, а я счастливая.
И мне немыслимо, что не могла без тебя.

Я твоя бывшая, к тебе остывшая
Случайно встретив меня, твои не скроют глаза:
Смотришь завистливо, а я счастливая.
И мне немыслимо, что не могла без тебя.""",Bahh Tee feat Turken
49,56,"""Давай обнимемся в последний раз
И разойдёмся по-хорошему
Забудем здесь и сейчас, здесь и сейчас
Всё что было, то прошлое

Давай обнимемся в последний раз
И разойдёмся по-хорошему
Забудем здесь и сейчас, здесь и сейчас
Всё что было, то прошлое

Давай обнимемся в последний раз
И разойдёмся по-хорошему
Забудем здесь и сейчас, здесь и сейчас
Всё что было, то прошлое

Я обещаю, я тебя не потревожу
И ты мне кое-что пообещай
Как бы ни было тяжко и сложно
Скажи мне: прощай

Мы же с тобой взрослые люди
(Мы же взрослые)
Мы же с тобой знаем, что нас ждёт впереди
Мы расходимся в сотый раз, в сотый раз мутим
А выход один (выход один)

Пусть у нас в последний раз будет (последний раз)
Лучше сделать и пожалеть в сотый раз
Уходи, я прошу, ну, пожалуйста, прямо сейчас (прямо сейчас)

Давай обнимемся в последний раз
И разойдёмся по-хорошему
Забудем здесь и сейчас, здесь и сейчас
Всё что было, то прошлое

Давай обнимемся в последний раз (давай обнимемся в последний раз)
И разойдёмся по-хорошему (и разойдёмся по-хорошему)
Забудем здесь и сейчас, здесь и сейчас
Всё что было, то прошлое (всё что было, то прошлое)

Давай обнимемся в последний раз (обнимемся в последний раз)
И разойдёмся по-хорошему (разойдёмся по-хорошему)
Забудем здесь и сейчас, здесь и сейчас
Всё что было, то прошлое""",Natan feat Ирина Дубцова
50,57,"""Под сиреневой луной, я бегу к тебе домой
На улице холод пробивает насквозь
Накрывает волной эта любовь,
Ведь я вижу как тебя целует другой

Весь кэш на билет в одну сторону,
Пускай меня судят и не поймут,
Бегу к тебе с бешеной скоростью
Не знал, что меня там уже не ждут

Я спешил к тебе, думал расскажу
Как же я скучал, но сейчас стою
У подъезда и наблюдаю как
Ты ушла с другим на моих глазах

Под сиреневой луной, я бегу к тебе домой
На улице холод пробивает насквозь
Накрывает волной эта любовь,
Ведь я вижу как тебя целует другой

Если бы я знал, что мы станем как лёд
Или упадём а это море стёкла
Я бы никогда не пошёл за тобой
Я бы не искал только твои глаза

Под сиреневой луной, я бегу к тебе домой
На улице холод пробивает насквозь
Накрывает волной эта любовь,
Ведь я вижу как тебя целует другой""",HOLLYFLAME
51,58,"""Улетай, улетай
Ты улетай, улетай, я-я
Улетай, улетай, е-е
(Улетай, улетай)

Осень ворвалась безумными ветрами
Проливными дождями, холодными днями, бессонными ночами
Жёлтыми листьями, странными мыслями
В поисках истины вопросы как выстрелы

Я в одиночестве, свободы так хочется
Лишь только небо одно пусть обо мне заботится
Рушить — не строить, пусть со мной никто не спорит
Через смерть к жизни, ты меня не остановишь

На меня смотришь, а в глазах — холод
Со мною быть хочешь, но тебя держит город
И ищешь повод, но меня не удержать
Я свободен, как птица, я рождён летать

Меня трудно понять, меня трудно забыть
Меня трудно терять, меня трудно любить
Я теряю тебя опять и опять
За тебя, за любовь я готов всё на свете отдать

Болит душа от потерь
Верю я, ты тоже верь
Наступит день, уйдёт печаль
Придёт весна, уйдёт февраль

И мне не жаль, ничего не жаль
Полный газ, и в пол педаль
Время стоп, стоп печаль
Улетай (улетай)

Может быть, мне кто-нибудь скажет о том, что я не прав
О том, что я живу в иллюзиях, живу в снах
Преодолевая страх, преодолевая боль
Еле дышу, еле живу, сердце бьётся в ноль

Стой! Подожди меня немного
Стой! Спой мне, дальняя дорога
О том, как трудно будет, о том, как ветры дуют
Пусть будет то, что будет, пусть меня небо судит

И я вернусь к тебе с мелодией заката
И я вернусь не возвращаясь, как это ни странно
Мой путь домой освещают звёзды
Знай, никогда не рано, знай, никогда не поздно

Льются слёзы, плачет небо
Если надо подождать — я подожду, есть время
Знай, я тебя не тороплю
Сказать три самых главных слова: Я тебя люблю

Болит душа от потерь
Верю я, ты тоже верь
Наступит день, уйдёт печаль
Придёт весна, уйдёт февраль

И мне не жаль, ничего не жаль
Полный газ, и в пол педаль
Время стоп, стоп печаль
Улетай (улетай)

Улетай, улетай
Ты улетай, улетай, я-я
Улетай, улетай, е-е
(Улетай)
Улетай, улетай
Ты улетай, улетай, я-я
Улетай, улетай, е-е""",Баста feat Andro
52,59,"""Ну что ты опять притих? Ведь начинал так круто
С виду обычный тип, а у меня голова кругом
Я не пойму твой мотив, я не пойму даже
Знаешь, чем ты меня так цепляешь

Твой лимит уже давно иссяк, иссяк
Сделай мне навстречу шаг, всего лишь шаг
У меня таких парней, как ты, толпа
Но я таю по тебе. Как так, как так?

Я вновь на тебя злюсь, ты снова дико тупишь
Но когда я разлюблю, ты меня не простишь
Я добавлю этот трек и отправлю по сети
В день, когда я разлюблю, ты не сможешь отпустить

Sorry, sorry, sorry, sorry
Где твои огни на stories?
Мне не нужен никто, кроме
Ты не понял ещё что ли?
Вновь молчишь, я мониторю
Мой плейлист опять в миноре
Я перегорю так вскоре
Sorry, sorry, sorry, sorry

Sorry, sorry, sorry, sorry

Sorry, sorry, sorry, sorry

Я в четырёх стенах. Мне уже некуда деться
Просто пи-дец влюблена, но снова не вижу действий
Явно сошла с ума, раз трубки беру с незнакомых
Но там чужой голос снова

Твой лимит уже давно иссяк, иссяк
Сделай мне навстречу шаг, всего лишь шаг
У меня таких как ты, толпа, толпа
А я таю по тебе. Как так, как так?

Я вновь на тебя злюсь, ты снова дико тупишь
Но когда я разлюблю, ты меня не простишь
Я добавлю этот трек и отправлю по сети
В день, когда я разлюблю, ты не сможешь отпустить

Sorry, sorry, sorry, sorry
Где твои огни на stories?
Мне не нужен никто, кроме
Ты не понял ещё что ли?
Вновь молчишь, я мониторю
Мой плейлист опять в миноре
Я перегорю так вскоре
Sorry, sorry, sorry, sorry

Sorry, sorry, sorry, sorry

Sorry, sorry, sorry, sorry

Я вновь на тебя злюсь, ты снова дико тупишь
Но когда я разлюблю, ты меня не простишь
Я добавлю этот трек и отправлю по сети
В день, когда я разлюблю, ты не сможешь отпустить""",ANNA ASTI
53,60,"""Королева этих клубов
А, а, а-а-а
На мне норковая шуба
А, а, а-а-а
Я влетаю с ноги тупо
А, а, а-а-а
Эти тусы меня любят
А, а, а

Ты слышишь мой голос и улетаешь в ра-ай
На мне сияет Prada, и дьявол — мой адвока-а-а-ат
Не мечта-ай, когда видишь мой сладкий за-а-а-ад
На губа-ах блестит lipstick от Jeffree Sta-a-a-ar

А, а, а
Bitch, never stop, do dance
А, а, а
Мама пополняет balance
А, а, а
Real bitch never have a stress
А, а, а, а, а, а-а-а

А, а, а
Bitch, never stop, do dance
А, а, а
Мама пополняет balance (balance)
А, а, а
Real bitch never have a stress
А, а, а, а, а, а-а-а

Очередь в клуб так ждёт мой лимузин, мой лимузин
Мешаю в гримёрке со Sprite'ом мой тусин, мой тусин
Денег так много в кассе — я магазин, я магазин
Лью на себя весь этот джин, этот джин, э-этот джин

Ты слышишь мой голос и улетаешь в ра-ай
На мне сияет Prada, и дьявол — мой адвока-а-а-ат
Не мечта-ай, когда видишь мой сладкий за-а-а-ад
На губа-ах блестит lipstick от Jeffree Sta-a-a-ar

А, а, а
Bitch, never stop, do dance
А, а, а
Мама пополняет balance (balance)
А, а, а
Real bitch never have a stress
А, а, а, а, а, а-а-а

Ты слышишь мой голос и улетаешь в ра-ай
На мне сияет Prada, и дьявол — мой адвока-а-а-ат
Не мечта-ай, когда видишь мой сладкий за-а-а-ад
На губа-ах блестит lipstick от Jeffree Sta-a-a-ar""",INSTASAMKA
54,61,"""Каждый день будний и утро бьёт током
Здесь так многолюдно, здесь так одиноко
Каждый день – праздник, нарядное платьице
Кто хотел всё и сразу, потом не расплатится

Расплачешься на перекрёстке
Размажешь блёстки по лицу
С самого начала всё идет к концу
И танцуют слёзы на асфальте
Каждому бойцу знакомо
Будто тысячу лет не был дома

Судьбы рушатся, но растут города
Чтобы что-то получить, нужно сначала отдать
Разобью всё – не беда
Сделаешь себе сердце изо льда
Если готов - тогда

Не перегори, не перегори только
Громче говори о том, что тебе больно
Всё, что есть внутри, миру подари
Не перегори

Не перегори, не перегори только
Громче говори о том, что тебе больно
Всё, что есть внутри, миру подaри
Не перегори

Нет ничего бесплатного
Всегда кто-то платит
С желаниями аккуратнее, они проклятья
Поменяла эконом на бизнес класс
Классно, но больше не удивляет, как в первый раз

За каждым выученным смехом – камера, мотор
За каждым успехом – отрицание, гнев и торг
Депрессия, принятие, сколько людей здесь спятило
Тех, кто хотел взять больше, чем мог потратить

Обратная сторона медали
Будет тебе урок
Чем больше вокруг людей
Тем больше ты одинок

Радовать, когда радоваться нет сил
Жизнь, о которой ты так просил
Распишись, скажи: Спасибо

Не перегори, не перегори только
Громче говори о том, что тебе больно
Всё, что есть внутри, миру подари
Не перегори

Не перегори, не перегори только
Громче говори о том, что тебе больно
Всё, что есть внутри, миру подари
Не перегори""",Mary Gu
55,62,"""Я тебя не понял, ты ничё не сказала
Плачешь на перроне, я стою у вокзала
Ты меня не поняла, эти ла-ла-ла
Меня ранила, про-та-та-ранила

А я тебя не понял, ты ничё не сказала
Ты сидишь в вагоне, я курю у вокзала
И ты меня не поняла, и небо падало
И меня ранило, про-та-та-ранило

Убе-гает солнечный зайчик
Убе-гает и больше не плачет
Круто было и круто не стало
Накрыло, достало

Убе-гаешь раньше рассвета
Уби-ваешь выстрелом в лето
Сердце лопнет как шарик
Без него удобней, оно мешает

Где ж эта любовь? Навеки ты моя
Помнишь день, я целый целовал тебя
Мы летали на луну, небо под ногами, но
Быстро кончилось кино

Я тебя не понял, ты ничё не сказала
Плачешь на перроне, я стою у вокзала
Ты меня не поняла, эти ла-ла-ла
Меня ранила, про-та-та-ранила

А я тебя не понял, ты ничё не сказала
Ты сидишь в вагоне, я курю у вокзала
И ты меня не поняла, и небо падало
И меня ранило, про-та-та-ранило

Ай, так хотелось бежать, бежать домой к тебе
Ай, так хотелось лежать, лежать с тобой в обнимку
Ай, заболела душа, душа, душа теперь
Будет скучать по ночам, нашим тёплым ночам, сам не знаю зачем

Я тебя не понял, ты ничё не сказала
Плачешь на перроне, я стою у вокзала
Ты меня не поняла, эти ла-ла-ла
Меня ранила, про-та-та-ранила

А я тебя не понял, ты ничё не сказала
Ты сидишь в вагоне, я курю у вокзала
И ты меня не поняла, и небо падало
И меня ранило, про-та-та-ранило

Я тебя не понял, не понял
(Плачешь на перроне, я стою у вокзала)
Я тебя не понял, не понял
(И меня ранило, про-та-та-ранило)""",VESNA305
56,63,"""Агент зимы поджёг листву
Весь мир горит, и я живу
Без запасных аэродромов

Вдыхаю дым минувших дней
Смотрю на блеск ночных огней
Они мне больше не знакомы

Я наконец-то понял
Меня не держат корни
И при любой погоде
Я внутренне свободен

Я всё оставлю в прошлом
Наотмашь хлопнув дверью
Я никому не должен
И никому не верю

Мой близкий враг родней чужих
Исподтишка летят ножи
И увернуться невозможно

Но как словами передать
Что пустоту нельзя предать?
А вот любовь — совсем не сложно

Я наконец-то понял
Меня не держат корни
И при любой погоде
Я внутренне свободен

Я всё оставлю в прошлом
Наотмашь хлопнув дверью
Я никому не должен
И никому не верю

Я наконец-то понял
Меня не держат корни
И при любой погоде
Я внутренне свободен

Я всё оставлю в прошлом
Наотмашь хлопнув дверью
Я никому не должен
И никому не верю""",БИ-2
57,65,"""За цвет голубых очей прожгутся сотни ночей
(Я буду убивать у-у-у)
(Прости же меня мать я не могу молчать)
(За близких, страну, любовь)
Глаза спакуют по мешкам
Приезжие из ближних стран
Валяемся по кустам
Находят нас по кускам
Но ты им сдаешь квартиры
Делая это мило
Вдруг в турах их много
Они уже взяли силу
А ты простой пацан
Ломаешь преграды сам
Не можешь уже молчать
И ночью идешь опять
А ночь опять твоя и полная вся огня
Ты сделаешь это вновь
За близких, страну, любовь
(Я буду убивать у-у-у)
(Прости же меня мать у-у-у)
(Я не могу молчать у-у-у)
(Начинаем качать)
Моя страна сидит в тюрьме
Даруя руки солнцу
Без памяти но помним корни
Я в заперти
Но белый свет лучше черного
Тут все гордые как-то их много, строго
Типа каждого, но когда один он сьебывает
Злость и слезы к черту
Кто за правду матку
Ты глупец если продал, держусь за взятку
Не стоит сравнивать, те кто стоит пятихатку
С теми кто по жизни с тобой рядом, братья
С меня хватит я не хочу слушать вовсе
Кто отдал себя в рабство и это условно
Тут почти все поголовно чьи-то истории
Но не переведутся наши парни из стали
(Я буду убивать у-у-у)
(Прости же меня мать у-у-у)
(Я не могу молчать у-у-у)
(Начинаем качать)
Цвет, Цвет голубых очей
Прожгутся сотни ночей
Прольется алая кровь
За близких, страну, любовь
За честь и верность идей
За совесть, гордость людей
За цвет голубых очей
Прожгутся сотни ночей
Цвет, Цвет голубых очей
Прожгутся сотни ночей
Прольется алая кровь
За близких, страну, любовь
За честь и верность идей
За совесть, гордость людей
За цвет голубых очей
Прожгутся сотни ночей

Глаза спакуют по мешкам""",Adecvat_production
58,67,"""Подари мне первый танец
Забери меня с собой
Я повсюду иностранец
И повсюду я вроде бы свой

Пробежала полоса, широка, бела
Разделила небеса с горем пополам
Заглушила голоса, залила глаза
Утонула полоса в девичьих слезах
Я знаю, всё будет
Забудьте, люди, я так больше не могу

Подари мне первый танец
Забери меня с собой
Я повсюду иностранец
И повсюду я вроде бы свой
Словно лодка в океане
Затерялся берег мой
Я повсюду иностранец
Забери меня, мама, домой

Пробежала полоса, зверем залегла
Расколола небеса на куски стекла
Предложенья на слова, близких на врагов
Материк на острова, бога на богов
Я знаю, всё будет
Забудьте, люди, я так больше не могу

Подари мне первый танец
Забери меня с собой
Я повсюду иностранец
И повсюду я вроде бы свой
Словно лодка в океане
Затерялся берег мой
Я повсюду иностранец
Забери меня, мама, домой

О-о-о, о-о-о, е
На-на-на-на, на-на-на, на-на

Я повсюду иностранец
Забери меня, мама, домой
Подари мне первый танец
Забери меня с собой
Я повсюду иностранец
И повсюду я вроде бы свой

Словно лодка в океане
Затерялся берег мой
Я повсюду иностранец
Забери меня, мама, домой, о-о-о
Словно лодка в океане
Затерялся берег мой
Я повсюду иностранец
Забери меня, мама, домой""",GOARTUR
59,68,"""Ты мой сон, один из самых страшных
Потерять я не смогла бы дважды
Ты моя боль до дрожи, до мурашек
Я за тебя в огонь, и всё так, как ты скажешь

Мне с тобой было в кайф, а ты в одного
Закрывался от всех или от всего
Я просила любви, тебе всё равно
Ты в себе гасил чувства, я вино

А теперь посмотри в мои глаза
Наслаждаюсь, а сколько дней прошло?
Сколько силы и боли пронесла?
Ты такую, как я, так и не нашёл

Ты мою душу не тревожь
И в глаза мне не смотри
Пусть меня самой лучшей назовёшь
Я исчезну на раз-два-три

И неважно, что говорил вчера
Задыхался от чувства, что любил
Если я ухожу, значит навсегда
Сколько бы ты остаться не просил

Ты проходил, и замедлялось время
Так много брал за моё вдохновение
Только вранья мне с головой хватило
Но ничего в прошлом бы я не изменила

Я ломаю себя, думая душой
Верю только тебе и дышу тобой
Принимаю всего и всю твою боль
За такою стеной я морально ноль

Но, наверно, когда-то было жаль
Что твоей единицей не была
Но теперь моё сердце — камень, зай
Хоть такого, как ты, так и не нашла

Ты мою душу не тревожь
И в глаза мне не смотри
Пусть меня самой лучшей назовёшь
Я исчезну на раз-два-три

И неважно, что говорил вчера
Задыхался от чувства, что любил
Если я ухожу, значит навсегда
Сколько бы ты остаться не просил

Ты мою душу не тревожь
И в глаза мне не смотри
Пусть меня самой лучшей назовёшь
Я исчезну на раз-два-три

И неважно, что говорил вчера
Задыхался от чувства, что любил
Если я ухожу, значит навсегда
Сколько бы ты остаться не просил""",MUJEVA
60,69,"""Ой, да заберите дом
Ой, да поселитесь в нём
Ой, да подавитесь в нём
А мы пересоберём

Приманка — это яд, осточертели сверхидеи
Говорят: Начни с себя — я убил в себе империю
Хозяин багровеет: нас не выселить никак
На нашем флаге белый снег и синяя река (и всё)

Эстрада больна, рядом война
Пляшут канкан за говна пирога
Вам — бабл-гам, я — назад в андеграунд
По Соловкам колокола (динь-дон)

Где мой дом? Где мой старый дом?
Колдуном проклятый старый дом ходит ходуном
Под горой икает старый гном (старый гном)
Старым кадыком, нас пугает ядерным грибом
Нахуй стариков, что лакают кровь чужих сынов
К чёрту старый дом — пересоберём

Ой, да заберите дом
Ой, да поселитесь в нём
Ой, да подавитесь в нём
А мы пересоберём

Ой, да заберите дом
Ой, да поселитесь в нём
Ой, да подавитесь в нём
А мы пересоберём

Как сладко делать деньги — леденец от Вилли Вонка (Вилли Вонка)
Кровавой карамелькою в слезе у Бинго-Бонго (Бинго-Бонго)
А нам головоломка (э): что на помойку (э), а что в котомку (э)
А хули, культура значит пересборка

Кубика Рубика
Шар крутится, крутится
Канут трюфели, сыт не будешь дыркой от бублика
Человечьи судьбы в дыму, будто капельки в бульбике
Жёны публики честной берут на Патриках туфельки (цок-цок-цок)

И business as usual, дресс-код — casual, загар — южный
Эпиляция в зоне бикини, чистка в зоне оккупации
Но только не отмыться в море, сколько ни купаться им

Фанаты не забывают о трубадуре
Передаю привет СК и прокуратуре
Воздушный поцелуй красивым кисам на Обводный (м-ма)
Ингрия будет свободной

Ой, да заберите дом
Ой, да поселитесь в нём
Ой, да подавитесь в нём
А мы пересоберём

Ой, да заберите дом
Ой, да поселитесь в нём
Ой, да подавитесь в нём
А мы пересоберём

А мы пересоберём""",Oxxxymiron
61,70,"""Написал вчера в директ, огонёк, типа респект
Может погуляем ночью? Хочешь, сделай мне конспект
Утром в университет, поступила на бюджет
Попросил закинуть нюдсы, проигнорила в ответ

Посмотри, крутая тачка, но какой менталитет
Он из тех парней, кто никогда не слышал слова Нет
Говорит ему за двадцать и моя учеба – бред
Милый, если бы ты знал, какой у меня факультет

В голове лишь карьерный план, план, план
Не гуляю, хожу только в зал, в зал, в зал
Не знакомлюсь, прости, реферат не сдам
Мой экзамен на чувствах - ты

Написал вчера в директ, огонёк, типа респект
Может погуляем ночью? Хочешь, сделай мне конспект
Утром в университет, поступила на бюджет
Попросил закинуть нюдсы, проигнорила в ответ

Новые подписки, лайков много
От таких, как он, как-то очково
Всем моим подругам, слово в слово
Вызывает кринж, я не готова

Сторис за рулем, подпись: Кто в гости?
Мне не то, что лень, мне пофиг вовсе
О чем думаешь? – О личном росте
Вижу как он вне себя от злости

Предки при деньгах везде платили
Я хочу сама, конспекты в силе
Если ты не сделал, то закрыли
Не хочу, чтоб так меня любили

И теперь другой он пишет в директ
С ней вдвоем в одном прямом эфире
Всем пока, экзамен на четыре
Планы состоятся в этом мире
В голове лишь карьерный план, план, план
Не гуляю, хожу только в зал, в зал, в зал
Не знакомлюсь, прости, реферат не сдам
Мой экзамен на чувствах - ты
Написал вчера в директ
Ты не пишешь, в чем секрет?
Может я приеду ночью?
Приезжай, сделай конспект

Утром в университет
Поведусь на интеллект
Просит снова скинуть нюдсы
Извини, но связи нет""",SCIRENA
